name,epochs,batch_size,optimizer,learning_rate,n_conv_blocks,filters,kernel,pool,conv_dropout,dense,dense_dropout,batch_norm,activation,loss_fn,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
arch_small,20,32,adam,0.001,2,32-64,3,2,0.0,64,0.0,False,relu,sparse_categorical_crossentropy,0.0001,1.0,0.06581,0.97717,0.1527,0.9726
arch_medium,20,32,adam,0.001,3,32-64-128,3,2,0.0,128,0.0,False,relu,sparse_categorical_crossentropy,3e-05,1.0,0.00355,1.0,0.10828,0.9863
arch_large,20,32,adam,0.001,4,32-64-128-128,3,2,0.0,256-128,0.0,False,relu,sparse_categorical_crossentropy,1e-05,1.0,0.00893,0.99543,0.07495,0.9863
dropout_p0.0,20,32,adam,0.001,3,32-64-128,3,2,0.0,128,0.0,False,relu,sparse_categorical_crossentropy,3e-05,1.0,0.00355,1.0,0.10828,0.9863
dropout_p0.25,20,32,adam,0.001,3,32-64-128,3,2,0.25,128,0.25,False,relu,sparse_categorical_crossentropy,0.00051,1.0,0.08983,0.9726,0.17014,0.9726
dropout_p0.5,20,32,adam,0.001,3,32-64-128,3,2,0.5,128,0.5,False,relu,sparse_categorical_crossentropy,0.05053,0.98171,0.19016,0.95434,0.30527,0.93151
dropout_dense_only_0.5,20,32,adam,0.001,3,32-64-128,3,2,0.0,128,0.5,False,relu,sparse_categorical_crossentropy,0.00062,1.0,0.05671,0.9863,0.12269,0.97717
bn_off,20,32,adam,0.001,3,32-64-128,3,2,0.0,128,0.0,False,relu,sparse_categorical_crossentropy,3e-05,1.0,0.00355,1.0,0.10828,0.9863
bn_on,20,32,adam,0.001,3,32-64-128,3,2,0.0,128,0.0,True,relu,sparse_categorical_crossentropy,0.00018,1.0,0.00473,1.0,0.04388,0.98174
act_relu,20,32,adam,0.001,3,32-64-128,3,2,0.0,128,0.0,False,relu,sparse_categorical_crossentropy,3e-05,1.0,0.00355,1.0,0.10828,0.9863
act_tanh,20,32,adam,0.001,3,32-64-128,3,2,0.0,128,0.0,False,tanh,sparse_categorical_crossentropy,0.00117,1.0,0.01329,0.99543,0.09372,0.9726
act_elu,20,32,adam,0.001,3,32-64-128,3,2,0.0,128,0.0,False,elu,sparse_categorical_crossentropy,0.00016,1.0,0.04462,0.99087,0.18091,0.96347
act_leaky_relu,20,32,adam,0.001,3,32-64-128,3,2,0.0,128,0.0,False,leaky_relu,sparse_categorical_crossentropy,3e-05,1.0,0.01656,0.99543,0.12779,0.97717
opt_adam,20,32,adam,0.001,3,32-64-128,3,2,0.0,128,0.0,False,relu,sparse_categorical_crossentropy,3e-05,1.0,0.00355,1.0,0.10828,0.9863
opt_sgd,20,32,sgd,0.001,3,32-64-128,3,2,0.0,128,0.0,False,relu,sparse_categorical_crossentropy,0.02873,0.99029,0.03455,0.99087,0.17019,0.93151
opt_rmsprop,20,32,rmsprop,0.001,3,32-64-128,3,2,0.0,128,0.0,False,relu,sparse_categorical_crossentropy,0.0,1.0,0.04727,0.98174,0.14196,0.98174
opt_adamw,20,32,adamw,0.001,3,32-64-128,3,2,0.0,128,0.0,False,relu,sparse_categorical_crossentropy,3e-05,1.0,0.00349,1.0,0.11788,0.9726
