name,epochs,batch_size,optimizer,learning_rate,n_conv_blocks,filters,kernel,pool,conv_dropout,dense,dense_dropout,batch_norm,activation,loss_fn,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
arch_small,50,32,adam,0.001,2,32-64,3,2,0.0,64,0.0,False,relu,sparse_categorical_crossentropy,0.00125,1.0,0.84278,0.92,0.91485,0.88
arch_medium,50,32,adam,0.001,3,32-64-128,5,2,0.0,128,0.0,False,relu,sparse_categorical_crossentropy,0.00032,1.0,1.26658,0.94,0.88624,0.86
arch_large,50,32,adam,0.001,4,64-128-128-64,5,2,0.0,256-128,0.0,False,relu,sparse_categorical_crossentropy,6e-05,1.0,0.90054,0.91333,1.08931,0.88667
dropout_p0.0,50,32,adam,0.001,3,32-64-128,5,2,0.0,128,0.0,False,relu,sparse_categorical_crossentropy,0.00032,1.0,1.26658,0.94,0.88624,0.86
dropout_p0.25,50,32,adam,0.001,3,32-64-128,5,2,0.25,128,0.25,False,relu,sparse_categorical_crossentropy,0.0051,0.99917,0.37713,0.94,0.44911,0.90667
dropout_p0.5,50,32,adam,0.001,3,32-64-128,5,2,0.5,128,0.5,False,relu,sparse_categorical_crossentropy,0.15876,0.97417,0.34794,0.92667,0.43805,0.88667
dropout_dense_only_0.5,50,32,adam,0.001,3,32-64-128,5,2,0.0,128,0.5,False,relu,sparse_categorical_crossentropy,0.00246,1.0,0.24848,0.93333,0.39856,0.90667
bn_off,50,32,adam,0.001,3,32-64-128,5,2,0.0,128,0.0,False,relu,sparse_categorical_crossentropy,0.00032,1.0,1.26658,0.94,0.88624,0.86
bn_on,50,32,adam,0.001,3,32-64-128,5,2,0.0,128,0.0,True,relu,sparse_categorical_crossentropy,0.00129,1.0,0.24325,0.94,0.21048,0.93333
act_relu,50,32,adam,0.001,3,32-64-128,5,2,0.0,128,0.0,False,relu,sparse_categorical_crossentropy,0.00032,1.0,1.26658,0.94,0.88624,0.86
act_tanh,50,32,adam,0.001,3,32-64-128,5,2,0.0,128,0.0,False,tanh,sparse_categorical_crossentropy,0.00172,1.0,0.25934,0.93333,0.29257,0.9
act_elu,50,32,adam,0.001,3,32-64-128,5,2,0.0,128,0.0,False,elu,sparse_categorical_crossentropy,0.00018,1.0,1.14522,0.92667,0.75526,0.86667
act_leaky_relu,50,32,adam,0.001,3,32-64-128,5,2,0.0,128,0.0,False,leaky_relu,sparse_categorical_crossentropy,0.00027,1.0,0.9553,0.92,0.80469,0.87333
opt_adam,50,32,adam,0.001,3,32-64-128,5,2,0.0,128,0.0,False,relu,sparse_categorical_crossentropy,0.00032,1.0,1.26658,0.94,0.88624,0.86
opt_sgd,50,32,sgd,0.001,3,32-64-128,5,2,0.0,128,0.0,False,relu,sparse_categorical_crossentropy,0.19724,0.955,0.8219,0.88667,0.78197,0.82
opt_rmsprop,50,32,rmsprop,0.001,3,32-64-128,5,2,0.0,128,0.0,False,relu,sparse_categorical_crossentropy,1e-05,1.0,1.26561,0.93333,1.07884,0.88
opt_adamw,50,32,adamw,0.001,3,32-64-128,5,2,0.0,128,0.0,False,relu,sparse_categorical_crossentropy,0.00034,1.0,1.25198,0.94,0.91373,0.84
